code,name,description
1465,Yoga,Beginner-friendly yoga classes
9202,Pilates,Intense Pilates workouts
1370,Zumba,High-energy Zumba sessions
2068,CrossFit,Intense CrossFit training
2765,Kickboxing,Kickboxing for all levels
2631,Cycling,Indoor cycling classes
1623,Boxing,Boxing techniques and drills
4742,Aerobics,Fun and energetic aerobics
1316,Swimming,Swimming lessons for beginners
3003,Running,Running group for all levels
3996,Weightlifting,Strength training with weights
2673,Hiking,Adventurous hiking trips
3977,Dance,Dance classes for all styles
6543,Martial Arts,Learn self-defense with martial arts
3927,Piloxing,Piloxing fusion of Pilates and boxing
7001,Barre,Barre workouts for full-body toning
5580,HIIT,High-intensity interval training
2513,Bootcamp,Outdoor bootcamp challenges
9616,TRX,Total body workout with TRX
3964,Pole Dancing,Express yourself with pole dancing
9994,Rowing,Rowing classes for cardio and strength
2991,Salsa Dancing,Learn salsa dancing moves
4862,Tennis,Improve your tennis skills
9305,Basketball,Basketball training for all ages
7165,Gymnastics,Flexibility and strength with gymnastics
